FID,ABBR,DISTRICT,SQ_Miles,Shape_Leng,Shape_Area,District_N,Shape__Area,Shape__Length
1,ALM,ALABAMA MIDDLE,15571.036,9.91890241056,3.85103405775,11,56346528662.9824,1200786.63562229
2,ALN,ALABAMA NORTHERN,22792.411,12.5266831896,5.75287421688,11,85906703237.082,1525149.70086334
3,ALS,ALABAMA SOUTHERN,36728.698,14.2914079127,3.26718180002,11,47559044841.3281,1725692.13645534
4,AK,ALASKA,21304514.65,787.366223494,279.696379184,9,8146771679140.7,114625897.591706
5,AZ,ARIZONA,114059.824,23.7526020536,28.9309929137,9,434257600823.52,2888357.88233671
6,ARE,ARKANSAS EASTERN,28875.088,20.2821340654,7.3911001921,8,111930526383.461,2444057.10154838
7,ARW,ARKANSAS WESTERN,24292.235,17.5726981659,6.19013727943,8,93331291904.832,2130771.3376371
8,CAC,CALIFORNIA CENTRAL,77737.552,26.1417972989,10.2358892221,9,154089950978.676,3109361.99664548
9,CAE,CALIFORNIA EASTERN,91785.949,32.2045015681,23.6328049619,9,374599672638.246,4011210.22476486
10,CAN,CALIFORNIA NORTHERN,26734.821,29.1204852411,5.57935673321,9,88543512069.4141,3691537.81255687
11,CAS,CALIFORNIA SOUTHERN,13029.776,8.84405369665,2.19151789353,9,32395721802.1523,1029109.01637124
12,CO,COLORADO,104058.357,22.0313282823,28.0543602533,10,447547171337.895,2708928.80672394
13,CT,CONNECTICUT,5657.781,7.0650027093,1.39312754155,2,23094537171.4961,902611.426188196
14,DE,DELAWARE,2048.253,5.45796687572,0.552171052241,4,8806051912.74219,705505.132758323
15,DC,DISTRICT OF COLUMBIA,60.158,0.716060363057,0.0161944380001,District of Columbia,257905634.523438,89138.1063281857
16,FLM,FLORIDA MIDDLE,165833.265,52.0022677226,6.97672234783,11,98321555096.4863,6224150.37445717
17,FLN,FLORIDA NORTHERN,80851.513,31.0265908569,4.13655846057,11,59357698545.457,3632281.40666078
18,FLS,FLORIDA SOUTHERN,164355.334,26.8575919635,2.39955594043,11,33238750618.1387,3173552.17091588
19,GAM,GEORGIA MIDDLE,25146.547,17.223128085,6.224919524,11,91169599640.8672,2067173.7952159
20,GAN,GEORGIA NORTHERN,14484.294,10.0583699014,3.66450634934,11,54849083109.8633,1214109.56396063
21,GAS,GEORGIA SOUTHERN,31583.732,22.6570380338,4.74570355272,11,69470228886.3633,2736127.09413339
22,HI,HAWAII,12512.061,14.6558896977,1.44942084896,9,19148243882.7813,1682499.05257094
23,ID,IDAHO,83394.626,29.6867134486,24.456865452,9,424683055448.766,4001904.30188941
24,ILC,ILLINOIS CENTRAL,28739.027,14.3054831415,7.89437080831,7,128295241745.953,1808201.99427493
25,ILS,ILLINOIS SOUTHERN,16652.942,14.6908902126,4.45029389747,7,70360962811.2305,1820592.12102461
26,INN,INDIANA NORTHERN,13448.055,9.51202463421,3.73527577352,7,61378028991.3008,1205499.52354263
27,INS,INDIANA SOUTHERN,22713.272,14.5764769314,6.14133068971,7,98243379486.2344,1841568.97067324
28,IAN,IOWA NORTHERN,30971.774,18.5120132128,8.82587901164,8,148798727462.293,2246329.62092994
29,IAS,IOWA SOUTHERN,25252.726,17.6072007486,7.04282961591,8,116202427096.641,2139764.91624665
30,KS,KANSAS,82228.102,21.3490843151,22.0074465812,10,348489783841.91,2561317.47100341
31,KYE,KENTUCKY EASTERN,20552.69,13.0023801158,5.44717545066,6,85410707917.5977,1590641.48838166
32,KYW,KENTUCKY WESTERN,20012.843,15.7895076691,5.20782910735,6,81097725627.0781,1914052.89427908
33,LAE,LOUISIANA EASTERN,254698.639,46.7828564279,2.21926916578,5,31737595129.1563,5548830.14973546
34,LAM,LOUISIANA MIDDLE,4649.808,4.74440636405,1.0268011038,5,14778563881.0586,562557.362343373
35,LAW,LOUISIANA WESTERN,37614.127,21.5301714842,8.23799320534,5,119675930425.127,2557923.73430695
36,ME,MAINE,246044.455,45.4291281,9.66257078771,1,170550044473.441,6144935.48414398
37,MD,MARYLAND,25423.939,46.4875919756,2.64298822084,4,42181766270.5195,5830966.85394969
38,MA,MASSACHUSETTS,13285.87,20.7786439355,2.29930493737,1,38498239830.6797,2615924.13736289
39,MIE,MICHIGAN EASTERN,44293.807,19.4974250892,6.2666116956,6,107322452663.184,2599008.03861534
40,MIW,MICHIGAN WESTERN,202286.736,56.1107284035,10.7408917611,6,187735440015.938,7314555.17461919
41,MN,MINNESOTA,90887.848,32.6814484948,25.5379544593,8,458771987640.992,4204464.41458118
42,MSN,MISSISSIPPI NORTHERN,20045.319,14.6893169706,5.06450399338,5,75697193558.6055,1768863.70294594
43,MSS,MISSISSIPPI SOUTHERN,33623.141,20.4764905091,6.82913586022,5,99626350986.9258,2451363.6174862
44,MOE,MISSOURI EASTERN,28965.802,20.862432487,7.73453950498,8,122213834145.844,2600400.4647307
45,MOW,MISSOURI WESTERN,40704.17,21.2081959783,10.8833989641,8,172195334909.418,2618150.05597665
46,MT,MONTANA,146692.221,35.399658017,45.0926067429,9,820449012921.754,4447732.80143919
47,NE,NEBRASKA,77189.993,24.2039639709,21.6010405754,8,357654185522.477,2918028.45791855
48,NV,NEVADA,110433.981,23.8003929097,29.9306414197,9,480151609032.063,3047087.94415494
49,NH,NEW HAMPSHIRE,9242.031,9.4943780029,2.67747205419,1,45892303951.332,1275453.7662111
50,NJ,NEW JERSEY,18496.658,14.275518791,2.0935577112,3,33966585858.8008,1815886.81643384
51,NM,NEW MEXICO,125312.924,23.6735296885,30.8878682295,10,464317757267.25,2898964.29430898
52,NYE,NEW YORK EASTERN,8513.415,13.4802049557,0.400255895415,2,6554026263,1637111.26159765
53,NYN,NEW YORK NORTHERN,50116.123,17.8828989274,9.04575590751,2,154154972157.324,2316827.41182228
54,NYS,NEW YORK SOUTHERN,3639.209,6.8696910542,1.01807718817,2,16849798257.4023,885633.027824669
55,NYW,NEW YORK WESTERN,13031.048,10.213667574,3.41101404783,2,57436445498.6875,1251244.26042337
56,NCE,NORTH CAROLINA EASTERN,105271.204,53.7197954464,6.22037242873,4,94589738739.2734,6556102.69909224
57,NCM,NORTH CAROLINA MIDDLE,11530.087,9.87076414531,2.97842457723,4,45516110942.9648,1204512.0581839
58,NCW,NORTH CAROLINA WESTERN,13534.646,13.6082427291,3.48529537739,4,53094366078.7344,1627844.97923985
59,ND,NORTH DAKOTA,70507.725,23.2269483685,21.843090533,8,400409463699.18,2889024.68631043
60,OHN,OHIO NORTHERN,19193.418,15.1796029733,5.03783306925,6,82810013885.1758,1889105.8192284
61,OHS,OHIO SOUTHERN,23131.694,14.0429968558,6.29508179326,6,101353354249.949,1761304.05752756
62,OKE,OKLAHOMA EASTERN,21529.654,14.0063452671,5.49381299449,10,82938385438.9922,1739995.92201377
63,OKN,OKLAHOMA NORTHERN,8907.036,8.14065480077,2.32019297571,10,35754359953.5078,983802.622261639
64,OKW,OKLAHOMA WESTERN,39458.452,20.7665514044,10.1914070388,10,155732475259.992,2489024.95214336
65,OR,OREGON,111227.563,32.2630791773,28.1409680771,9,484527277889.723,4112843.51635161
66,PAE,PENNSYLVANIA EASTERN,4766.876,6.17062852368,1.30828072513,3,21241524353.2734,749298.205113627
67,PAM,PENNSYLVANIA MIDDLE,21295.892,14.2486097303,5.91172617968,3,97092376554.4609,1725257.53012068
68,PAW,PENNSYLVANIA WESTERN,19168.855,11.3365215424,5.31125380721,3,87066425610.3242,1440795.74168872
69,PR,PUERTO RICO,4235.475,7.71139418539,0.764547515105,1,9974549408.05762,874019.56047584
70,RI,RHODE ISLAND,1896.307,5.89538807591,0.306881220631,1,5091439553.01172,783907.952751223
71,SC,SOUTH CAROLINA,50609.14,24.2766423368,7.80289857954,4,116536638397.121,2919215.11799169
72,SD,SOUTH DAKOTA,76966.018,23.2715145904,22.5802921626,8,392008951537.371,2890312.45229501
73,TNE,TENNESSEE EASTERN,16532.146,14.502888053,4.2704854196,6,65259706136.6641,1713725.14674595
74,TNM,TENNESSEE MIDDLE,14297.618,11.867564242,3.7022033415,6,56712586635.0469,1417735.95675101
75,TNW,TENNESSEE WESTERN,11791.426,9.98087240347,2.9199342059,6,44556944073.8711,1190626.39250666
76,TXE,TEXAS EASTERN,33775.112,23.6790320317,8.35469889183,5,122274552550.344,2877492.23285016
77,TXN,TEXAS NORTHERN,96789.377,32.8743512953,24.30023865,5,361017065127.871,4000866.90404171
78,TXS,TEXAS SOUTHERN,103168.16,44.8600089736,10.3285021954,5,145669103807.779,5294941.71535228
79,TXW,TEXAS WESTERN,91471.346,41.4987846293,22.2516361393,5,320254464469.094,4905597.91597383
80,UT,UTAH,84800.868,19.9986146644,22.9698839313,10,368210049834.75,2556781.70559362
81,VT,VERMONT,9613.722,9.12887499651,2.80320340753,2,48359528264.5938,1196963.76383161
82,VI,VIRGIN ISLANDS,750.886,2.65641550166,0.0297569821265,3,387661965.508789,300956.958075973
83,VAE,VIRGINIA EASTERN,34183.467,45.5336458326,4.04736819945,4,63284010779.625,5617557.89793123
84,VAW,VIRGINIA WESTERN,24622.384,19.886862703,6.50346929747,4,101581711787.828,2378741.43774662
85,WAE,WASHINGTON EASTERN,42339.553,18.0331158254,13.0981058175,9,239788989409.898,2338462.21904784
86,WAW,WASHINGTON WESTERN,77834.495,51.7852433728,7.72739791854,9,141504750523.953,6949933.42264656
87,WVN,WEST VIRGINIA NORTHERN,12727.747,14.8588968015,3.43572535718,4,54867566444.7578,1883769.49761031
88,WVS,WEST VIRGINIA SOUTHERN,11458.626,10.5802388468,3.05133788846,4,48070602883.2578,1317326.56784623
89,WIE,WISCONSIN EASTERN,24567.673,17.7710834076,4.92549501381,7,85397037059.4414,2397405.04249454
90,WIW,WISCONSIN WESTERN,63014.44,22.5702730617,11.542166652,7,201548099559.852,2956760.1268883
91,WY,WYOMING,97626.547,21.9928608917,27.9679652441,10,474154217634.316,2776293.41092001
92,ILN,ILLINOIS NORTHERN,0,9.64130873707,3.07397043095,7,51175351782.8086,1183730.17480531
93,GU,GUAM,0,1.75162743569,0.0467602518253,9,595780319.318359,197687.874449952
94,MP,NORTHERN MARIANA ISLANDS,0,3.6518377488,0.0388699447685,9,501016967.242188,415491.799887561
