Court_Code,Vacancy_Created_By,Vacancy_Reason,Vacancy_Date,Days_Pending_AT_SCRAPE,Weighted_Filings_Per_Seat,Adjusted_Filings_Per_Panel,First_Name,Middle_Name,Last_Name,Suffix
02 - NY-E,Sandra J. Feuerstein,Senior,2015-01-21,1626,559,0,Sandra,J.,Feuerstein,
02 - NY-E,Eric N. Vitaliano,Senior,2017-02-28,857,559,0,Eric,N.,Vitaliano,
02 - NY-E,Carol Bagley Amon,Senior,2016-11-30,947,559,0,Carol,Bagley,Amon,
02 - NY-E,John Gleeson,Resigned,2016-03-09,1213,559,0,John,,Gleeson,
02 - NY-E,Joseph F. Bianco,Elevated,2019-05-08,58,559,0,Joseph,F.,Bianco,
02 - NY-S,P. Kevin Castel,Senior,2017-08-05,699,575,0,P.,Kevin,Castel,
02 - NY-S,Loretta A. Preska,Senior,2017-03-01,856,575,0,Loretta,A.,Preska,
02 - NY-S,Paul A. Crotty,Senior,2015-08-01,1434,575,0,Paul,A.,Crotty,
02 - NY-W,William M. Skretny,Senior,2015-03-08,1580,592,0,William,M.,Skretny,
03 - NJ,Robert B. Kugler,Senior,2018-11-02,245,903,0,Robert,B.,Kugler,
03 - NJ,William J. Martini,Senior,2015-02-10,1606,903,0,William,J.,Martini,
03 - NJ,Faith S. Hochberg,Retired,2015-03-06,1582,903,0,Faith,S.,Hochberg,
03 - NJ,Jose L. Linares,Retired,2019-05-16,50,903,0,Jose,L.,Linares,
03 - NJ,Jerome B. Simandle,Senior,2017-05-31,765,903,0,Jerome,B.,Simandle,
03 - NJ,Peter G. Sheridan,Senior,2018-06-14,386,903,0,Peter,G.,Sheridan,
04 - MD,"William D. Quarles, Jr.",Retired,2016-02-01,1250,490,0,William,D.,Quarles,Jr.
04 - NC-E,Malcolm J. Howard,Senior,2005-12-31,4934,665,0,Malcolm,J.,Howard,
05 - TX-E,Richard A. Schell,Senior,2015-03-10,1578,581,0,Richard,A.,Schell,
05 - TX-N,Terry Means,Senior,2013-07-03,2193,584,0,Terry,,Means,
05 - TX-N,Samuel Ray Cummings,Senior,2014-12-31,1647,584,0,Samuel,Ray,Cummings,
05 - TX-N,Sidney A. Fitzwater,Senior,2018-09-22,286,584,0,Sidney,A.,Fitzwater,
05 - TX-N,John H. McBryde,Senior,2018-10-09,269,584,0,John,H.,McBryde,
05 - TX-S,Gray H. Miller,Senior,2018-12-09,208,620,0,Gray,H.,Miller,
05 - TX-S,Melinda Harmon,Senior,2018-03-31,461,620,0,Melinda,,Harmon,
05 - TX-W,Sam Sparks,Senior,2017-12-31,551,755,0,Sam,,Sparks,
05 - CCA,E. Grady Jolly,Senior,2017-10-03,640,0,905,E.,Grady,Jolly,
06 - MI-W,Robert Holmes Bell,Senior,2017-01-31,885,528,0,Robert,Holmes,Bell,
06 - OH-S,Thomas M. Rose,Senior,2017-06-30,735,453,0,Thomas,M.,Rose,
07 - IL-N,John W. Darrah,Senior,2017-03-01,856,446,0,John,W.,Darrah,
07 - IL-N,James B. Zagel,Senior,2016-10-21,987,446,0,James,B.,Zagel,
07 - IL-S,David R. Herndon,Retired,2019-01-07,179,579,0,David,R.,Herndon,
07 - IL-S,Michael J. Reagan,Retired,2019-03-31,96,579,0,Michael,J.,Reagan,
07 - IN-N,"Robert L. Miller, Jr.",Senior,2016-01-11,1271,469,0,Robert,L.,Miller,Jr.
08 - ND,Ralph R. Erickson,Elevated,2017-09-28,645,367,0,Ralph,R.,Erickson,
09 - AZ,David G. Campbell,Senior,2018-07-31,339,703,0,David,G.,Campbell,
09 - AZ,Raner Collins,Senior,2019-03-04,123,703,0,Raner,,Collins,
09 - AZ,Cindy K. Jorgenson,Senior,2018-04-06,455,703,0,Cindy,K.,Jorgenson,
09 - CA-C,Audrey B. Collins,Retired,2014-08-01,1799,650,0,Audrey,B.,Collins,
09 - CA-C,Beverly Reid O,Deceased,2017-10-08,635,650,0,Beverly,Reid,O,
09 - CA-C,Manuel L. Real,Senior,2018-11-04,243,650,0,Manuel,L.,Real,
09 - CA-C,S. James Otero,Senior,2018-12-30,187,650,0,S.,James,Otero,
09 - CA-C,Christina A. Snyder,Senior,2016-11-23,954,650,0,Christina,A.,Snyder,
09 - CA-C,George H. King,Retired,2017-01-06,910,650,0,George,H.,King,
09 - CA-C,Dean D. Pregerson,Senior,2016-01-28,1254,650,0,Dean,D.,Pregerson,
09 - CA-C,Margaret M. Morrow,Senior,2015-10-29,1345,650,0,Margaret,M.,Morrow,
09 - CA-S,Marilyn L. Huff,Senior,2016-09-30,1008,651,0,Marilyn,L.,Huff,
09 - CA-S,Barry Ted Moskowitz,Senior,2019-01-23,163,651,0,Barry,Ted,Moskowitz,
09 - CA-S,Roger T. Benitez,Senior,2017-12-31,551,651,0,Roger,T.,Benitez,
09 - CA-S,John A. Houston,Senior,2018-02-06,514,651,0,John,A.,Houston,
09 - CA-S,Michael M. Anello,Senior,2018-10-31,247,651,0,Michael,M.,Anello,
09 - NV,Robert Clive Jones,Senior,2016-02-01,1250,497,0,Robert,Clive,Jones,
09 - OR,Anna J. Brown,Senior,2017-07-27,708,463,0,Anna,J.,Brown,
09 - WA-W,Ronald B. Leighton,Senior,2019-02-28,127,485,0,Ronald,B.,Leighton,
09 - WA-W,James L. Robart,Senior,2016-06-28,1102,485,0,James,L.,Robart,
09 - WA-W,Robert S. Lasnik,Senior,2016-01-27,1255,485,0,Robert,S.,Lasnik,
09 - WA-W,Marsha J. Pechman,Senior,2016-02-06,1245,485,0,Marsha,J.,Pechman,
09 - CCA,Alex Kozinski,Retired,2017-12-18,564,0,723,Alex,,Kozinski,
09 - CCA,Diarmuid F. O,Senior,2016-12-31,916,0,723,Diarmuid,F.,O,
10 - NM,M. Christina Armijo,Senior,2018-02-07,513,536,0,M.,Christina,Armijo,
10 - NM,Robert Brack,Senior,2018-07-25,345,536,0,Robert,,Brack,
10 - NM,Judith C. Herrera,Senior,2019-07-01,4,536,0,Judith,C.,Herrera,
10 - OK-E,James H. Payne,Senior,2017-08-01,703,345,0,James,H.,Payne,
11 - FL-M,John E. Steele,Senior,2015-06-03,1493,637,0,John,E.,Steele,
11 - FL-M,Elizabeth A. Kovachevich,Senior,2018-12-14,203,637,0,Elizabeth,A.,Kovachevich,
11 - FL-N,Richard Smoak,Senior,2015-12-31,1282,764,0,Richard,,Smoak,
11 - FL-S,James I. Cohn,Senior,2016-08-05,1064,764,0,James,I.,Cohn,
11 - FL-S,Kenneth A. Marra,Senior,2017-08-01,703,764,0,Kenneth,A.,Marra,
11 - GA-N,Richard W. Story,Senior,2018-12-01,216,635,0,Richard,W.,Story,